123	0	1	change	6	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	347	10	0	0	786
123	0	6	same	34	8	0	3	143	11	139	12	123	9	65	6	34	8	0	1	973
123	0	6	same	304	6	350	7	100	11	17	3	301	5	172	8	304	6	0	1	1047
123	1	2	change	295	2	53	5	-1	-1	-1	-1	-1	-1	-1	-1	9	2	1	1	1387
123	2	3	change	73	2	208	11	130	4	-1	-1	-1	-1	-1	-1	15	2	0	0	828
123	3	2	change	159	4	191	8	-1	-1	-1	-1	-1	-1	-1	-1	312	4	1	1	762
123	4	4	change	342	7	152	2	290	9	42	3	-1	-1	-1	-1	133	7	1	1	1660
123	5	4	same	193	5	65	8	192	7	35	0	-1	-1	-1	-1	193	5	0	1	703
123	6	1	change	280	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	189	7	1	1	658
123	7	4	change	278	2	214	8	335	0	168	5	-1	-1	-1	-1	25	2	1	1	1003
123	8	4	same	107	6	70	1	318	4	59	3	-1	-1	-1	-1	107	6	0	1	766
123	9	4	same	125	1	63	2	312	6	253	5	-1	-1	-1	-1	125	1	1	0	572
123	10	2	change	186	10	272	2	-1	-1	-1	-1	-1	-1	-1	-1	71	10	1	1	427
123	11	2	same	127	7	305	6	-1	-1	-1	-1	-1	-1	-1	-1	127	7	0	1	836
123	12	1	change	352	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	279	0	1	1	741
123	13	5	change	74	0	21	12	236	3	245	8	249	10	-1	-1	261	0	1	1	903
123	14	3	same	60	0	100	3	124	2	-1	-1	-1	-1	-1	-1	60	0	0	1	894
123	15	1	change	204	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	322	0	1	1	968
123	16	5	same	198	10	20	7	358	2	39	9	287	5	-1	-1	198	10	0	1	2079
123	17	2	same	104	6	275	3	-1	-1	-1	-1	-1	-1	-1	-1	104	6	0	1	995
123	18	4	same	54	1	297	0	104	12	31	10	-1	-1	-1	-1	54	1	0	1	17072
123	19	5	change	87	9	354	10	236	11	66	8	352	0	-1	-1	185	9	1	1	2109
123	20	6	same	48	4	45	6	174	9	164	7	318	10	126	5	48	4	1	0	2204
123	21	5	change	2	12	253	10	69	6	228	3	127	2	-1	-1	122	12	0	0	1533
123	22	4	same	302	12	222	11	169	4	345	1	-1	-1	-1	-1	302	12	0	1	1694
