1	0	MM	17.496	0.005	0.000
1	1	MM	15.866	0.035	0.000
1	2	MM	10.537	0.096	0.000
1	3	MM	6.403	0.210	0.000
2	0	MM	26.960	0.000	0.000
2	1	MM	14.802	0.056	0.000
2	2	MM	8.406	0.246	0.000
2	3	MM	7.027	0.410	0.000
3	0	MM	16.444	0.000	0.000
3	1	MM	10.419	0.021	0.000
3	2	MM	8.320	0.141	0.000
3	3	MM	5.430	0.241	0.000
4	0	MM	25.638	0.063	0.000
4	1	MM	13.715	0.177	0.000
4	2	MM	7.946	0.238	0.000
4	3	MM	5.293	0.466	0.000
5	0	MM	32.415	0.000	0.000
5	1	MM	18.986	0.023	0.000
5	2	MM	8.311	0.152	0.000
5	3	MM	8.204	0.247	0.000
6	0	MM	35.956	0.005	0.000
6	1	MM	21.509	0.019	0.000
6	2	MM	14.431	0.266	0.000
6	3	MM	9.380	0.388	0.000
7	0	MM	99.824	0.037	0.000
7	1	MM	36.220	0.018	0.000
7	2	MM	18.084	0.055	0.000
7	3	MM	14.082	0.288	0.000
8	0	MM	17.959	0.024	0.000
8	1	MM	11.851	0.185	0.000
8	2	MM	8.704	0.416	0.000
8	3	MM	9.326	0.673	0.000
9	0	MM	24.740	0.000	0.000
9	1	MM	23.766	0.022	0.000
9	2	MM	15.224	0.104	0.000
9	3	MM	9.232	0.345	0.000
10	0	MM	10.631	0.014	0.000
10	1	MM	7.720	0.115	0.000
10	2	MM	3.779	0.410	0.000
10	3	MM	5.361	0.725	0.000
11	0	MM	20.616	0.000	0.000
11	1	MM	17.762	0.149	0.000
11	2	MM	11.118	0.285	0.000
11	3	MM	6.760	0.442	0.000
12	0	MM	21.030	0.016	0.000
12	1	MM	12.621	0.106	0.000
12	2	MM	15.232	0.294	0.000
12	3	MM	15.146	0.453	0.000
13	0	MM	27.611	0.006	0.000
13	1	MM	20.069	0.036	0.000
13	2	MM	12.225	0.149	0.000
13	3	MM	5.801	0.201	0.000
14	0	MM	25.610	0.000	0.000
14	1	MM	15.737	0.025	0.000
14	2	MM	6.426	0.054	0.000
14	3	MM	5.002	0.294	0.000
15	0	MM	22.724	0.000	0.000
15	1	MM	9.830	0.000	0.000
15	2	MM	7.460	0.223	0.000
15	3	MM	4.906	0.491	0.000
16	0	MM	34.447	0.005	0.000
16	1	MM	22.009	0.064	0.000
16	2	MM	10.793	0.224	0.000
16	3	MM	10.535	0.358	0.000
17	0	MM	14.414	0.000	0.000
17	1	MM	11.212	0.046	0.000
17	2	MM	6.786	0.238	0.000
17	3	MM	9.536	0.486	0.000
18	0	MM	19.907	0.000	0.000
18	1	MM	11.156	0.034	0.000
18	2	MM	7.467	0.162	0.000
18	3	MM	7.353	0.385	0.000
19	0	MM	14.026	0.000	0.000
19	1	MM	8.847	0.074	0.000
19	2	MM	6.201	0.288	0.000
19	3	MM	5.819	0.580	0.000
20	0	MM	15.593	0.007	0.000
20	1	MM	12.218	0.070	0.000
20	2	MM	8.341	0.105	0.000
20	3	MM	7.661	0.390	0.000
1	0	MMR	33.622	0.048	0.000
1	1	MMR	41.435	0.056	0.000
1	3	MMR	15.057	0.153	0.000
1	5	MMR	6.960	0.268	0.000
2	0	MMR	60.675	0.000	0.000
2	1	MMR	43.678	0.124	0.000
2	3	MMR	19.025	0.328	0.000
2	5	MMR	30.273	0.476	0.000
3	0	MMR	59.995	0.040	0.000
3	1	MMR	91.905	0.110	0.000
3	3	MMR	28.227	0.429	0.000
3	5	MMR	93.522	0.555	0.000
4	0	MMR	33.277	0.044	0.000
4	1	MMR	37.452	0.190	0.000
4	3	MMR	36.106	0.528	0.000
4	5	MMR	20.752	0.614	0.000
5	0	MMR	52.870	0.045	0.000
5	1	MMR	20.014	0.123	0.000
5	3	MMR	11.037	0.217	0.000
5	5	MMR	26.224	0.349	0.000
6	0	MMR	36.553	0.015	0.000
6	1	MMR	93.513	0.110	0.000
6	3	MMR	15.105	0.270	0.000
6	5	MMR	19.025	0.512	0.000
7	0	MMR	69.527	0.049	0.000
7	1	MMR	96.630	0.059	0.000
7	3	MMR	32.950	0.107	0.000
7	5	MMR	19.047	0.384	0.000
8	0	MMR	80.278	0.049	0.000
8	1	MMR	41.604	0.266	0.000
8	3	MMR	41.386	0.454	0.000
8	5	MMR	24.915	0.705	0.000
9	0	MMR	73.754	0.062	0.000
9	1	MMR	29.151	0.081	0.000
9	3	MMR	24.915	0.251	0.000
9	5	MMR	11.036	0.343	0.000
10	0	MMR	30.311	0.025	0.000
10	1	MMR	14.873	0.229	0.000
10	3	MMR	7.242	0.439	0.000
10	5	MMR	4.964	0.577	0.000
11	0	MMR	37.052	0.030	0.000
11	1	MMR	56.016	0.145	0.000
11	3	MMR	8.426	0.260	0.000
11	5	MMR	4.383	0.231	0.000
12	0	MMR	24.914	0.054	0.000
12	1	MMR	33.622	0.256	0.000
12	3	MMR	16.030	0.470	0.000
12	5	MMR	7.886	0.556	0.000
13	0	MMR	56.464	0.003	0.000
